index,title,view count,like_count,comment_count
ftQZo7XaTOA,최신 파이썬 코딩 무료 강의 | 2024 점프 투 파이썬 통합본,569841,11229,462
yytWGELNeOI,파이썬 무료 기초 강의 - 1강 파이썬이란 무엇인가?,831937,10582,782
8lCfkW_dIY4,"파이썬 독학, 제발 설치부터 하지 마세요. (서울대 교수 무료 강의) (1/38)",5393,59,9
T6z-0dpXPvU,파이썬 무료 강의 100분 완성 (1분 파이썬 모음),764970,13577,450
kWiCuklohdY,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],5835986,111674,13775
jrHwm-gNg5Y,코딩 왕초보 탈출 무료 강의 Python 기초 1강 ( by 서울대 교수 ),17169,409,25
x1VFfTz30VE,파이썬 당신이 지금 당장 배워야하는 이유 (파이썬 기초),8504,123,11
59JGaJElY8Y,개발자가 보는 프로그래밍 언어좀 해봤다 하는 일반인,1040386,10772,1096
MeQBuFwdIio,고수들 github에 나오는 건방진 문법 #python,274548,1972,180
Dkx8Pl6QKW0,파이썬 코딩 무료 강의 (활용편1) - 추억의 오락실 게임을 만들어 보아요. 3시간이면 충분합니다. [나도코딩],3030227,20141,2815
K5KVEU3aaeQ,Python Full Course for Beginners,6274487,146109,3827
2FBX-JcZ2ks,"파이썬 코딩 기초 강좌 - 파이썬 프로그래밍의 기초, 자료형(2)",143765,2039,250
JE-rdjcNFVQ,파이썬 왕초보 기초 강의 완벽 마스터 하는 방법,798,17,5
q2-pnQffZik,Learn Python for FREE in 2025,1097977,27562,211
WCM65ION4nE,Python Syllabus | Python for Beginners | Complete Python Course #pythonlearning,1031507,9958,14
_uQrJ0TkZlc,Python Full Course for Beginners,47690312,1248442,62298
80yIVH2aOy0,python programming|python for beginners|python full course,1285131,21302,192
tSZc6Mvqt78,Why This Turtle Graphics Python Tutorial is Worth Your Time,107985,1417,24
fXxUYb0s-pc,Impress your crush using Python Code ❤️,2537857,39936,515
Ro_MScTDfU4,Learn Python in Only 30 Minutes (Beginner Tutorial),752129,22898,434
zpW543qFsU4,[1분 파이썬] 2강 연산자(1)_교재제공,10423,115,1
W-8j4MrsX2s,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,1607037,58483,415
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,24237559,551459,27594
IfKlGhRc7Dc,"Python Roadmap for Beginners! 🐍 Learn Python Programming Step-by-Step"" #python #conding",2827735,35944,108
hxgVtGGegC8,How to draw a triangle using turtle in Python,203852,2107,40
nluUYtejoIE,Python Basics: Your FIRST Program in Under a Minute! 🚀,1200645,16108,130
b093aqAZiPU,👩‍💻 Python for Beginners Tutorial,4440685,96431,3300
t8pPdKYpowI,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],6739306,169458,4055
ix9cRaBkVe0,Python Full Course for free 🐍,9769038,303526,18649
GfWRxr1OBm4,Python Basics: The Best Way to Learn Python Programming (2024),2347114,31276,272
mC4nyib2sfg,How I Would Learn Python FAST (if I could start over),442878,22111,301
5EnpNI2iCZA,Apprendre Python en 1 heure - Cours Complet Débutant (4K),518200,15368,467
fWjsdhR3z3c,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),1413033,32495,801
Mf9GCn_LsUI,Junior vs senior python developer 🐍 | #python #coding #programming #shorts  @Codingknowledge-yt,2586847,42156,885
gbYLsUngzLc,Top 10 Most Important Python Functions You Must Know! 🚀 | Python Tutorial for Beginners,213827,2300,12
Sg4GMVMdOPo,Start coding with PYTHON in 5 minutes! 🐍,740912,20284,775
LRhOzoxHlJo,Python AI And Generative AI Course For Beginners #ai #python #tutorial #course #study #learning,349508,10686,31
EmxXYzX6iEs,How to visualize data with Python in Excel. 🤯 #excel  #python #tutorial,101020,1809,13
CMzbwSi8_q8,Programming#python#javascript#java#c++#assembly #coding,785558,16300,441
rfscVS0vtbw,Learn Python - Full Course for Beginners [Tutorial],48730065,1116785,46100
0_zphmXBiZs,How To Call API In Python,103127,2364,15
ss-I6WAiMFA,Python LAMBDA FUNCTION?! #python #programming #coding,2766116,138246,1025
c0MNpou4zOA,How to create a virus using python🦠,1503468,23040,628
Wghz6w0btxI,Python Programming - A Full Course for Beginners (Learn Python in 2025!),128014,1413,19
8KCuHHeC_M0,Learn Python in 1 hour! 🐍,562922,15774,603
dZ8VrmzYL2A,Pygame - Display Image in Pygame python || Pygame python tutorial #python #pygame,1154643,14136,87
UByzZYqOHPY,Python pygame Tutorial #python #pygame #coding #programming,427565,2747,37
mB0EBW-vDSQ,Do THIS instead of watching endless tutorials - how I’d learn Python FAST…,597664,24598,532
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,567384,7531,208
vMV1s-1BKvc,Python courses for Beginners (FREE),1165551,49897,89
